term1;term2;error_degree;weight;eq_id;eq_size;community
116662018;http://af.dbpedia.org/resource/Barack_Obama;http://te.dbpedia.org/resource/బరాక్_ఒబామా;0.24;2;5723;14916;0
116662019;http://af.dbpedia.org/resource/Barack_Obama;http://tg.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662020;http://af.dbpedia.org/resource/Barack_Obama;http://tg.dbpedia.org/resource/Барак_Ҳусейн_Обама;0.24;2;5723;14916;0
116662021;http://af.dbpedia.org/resource/Barack_Obama;http://th.dbpedia.org/resource/บารัก_โอบามา;0.24;2;5723;14916;0
116662022;http://af.dbpedia.org/resource/Barack_Obama;http://th.dbpedia.org/resource/บารัค_โอบามา;0.24;2;5723;14916;0
116662023;http://af.dbpedia.org/resource/Barack_Obama;http://tl.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662024;http://af.dbpedia.org/resource/Barack_Obama;http://tr.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662025;http://af.dbpedia.org/resource/Barack_Obama;http://tt.dbpedia.org/resource/Baraq_Husseyın_Obama_II;0.24;2;5723;14916;0
116662026;http://af.dbpedia.org/resource/Barack_Obama;http://tt.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662027;http://af.dbpedia.org/resource/Barack_Obama;http://uk.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662028;http://af.dbpedia.org/resource/Barack_Obama;http://ur.dbpedia.org/resource/بارک_اوبامہ;0.24;2;5723;14916;0
116662029;http://af.dbpedia.org/resource/Barack_Obama;http://uz.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662030;http://af.dbpedia.org/resource/Barack_Obama;http://vec.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662031;http://af.dbpedia.org/resource/Barack_Obama;http://vi.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662032;http://af.dbpedia.org/resource/Barack_Obama;http://wa.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662033;http://af.dbpedia.org/resource/Barack_Obama;http://war.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662034;http://af.dbpedia.org/resource/Barack_Obama;http://www.wikidata.org/entity/Q76;0.24;2;5723;14916;0
116662035;http://af.dbpedia.org/resource/Barack_Obama;http://yi.dbpedia.org/resource/באראק_אבאמא;0.24;2;5723;14916;0
116662036;http://af.dbpedia.org/resource/Barack_Obama;http://yo.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662037;http://af.dbpedia.org/resource/Barack_Obama;http://zh-min-nan.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662038;http://af.dbpedia.org/resource/Barack_Obama;http://zh-yue.dbpedia.org/resource/奧巴馬;0.24;2;5723;14916;0
116662039;http://af.dbpedia.org/resource/Barack_Obama;http://zh.dbpedia.org/resource/贝拉克·奥巴马;0.24;2;5723;14916;0
116662040;http://als.dbpedia.org/resource/Barack_Obama;http://am.dbpedia.org/resource/ባራክ_ኦባማ;0.24;2;5723;14916;0
116662041;http://als.dbpedia.org/resource/Barack_Obama;http://an.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662042;http://als.dbpedia.org/resource/Barack_Obama;http://ar.dbpedia.org/resource/باراك_أوباما;0.24;2;5723;14916;0
116662043;http://als.dbpedia.org/resource/Barack_Obama;http://arz.dbpedia.org/resource/باراك_اوباما;0.24;2;5723;14916;0
116662044;http://als.dbpedia.org/resource/Barack_Obama;http://ast.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662045;http://als.dbpedia.org/resource/Barack_Obama;http://az.dbpedia.org/resource/Barak_Obama;0.24;2;5723;14916;0
116662046;http://als.dbpedia.org/resource/Barack_Obama;http://ba.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662047;http://als.dbpedia.org/resource/Barack_Obama;http://bat-smg.dbpedia.org/resource/Baraks_Obama;0.24;2;5723;14916;0
116662048;http://als.dbpedia.org/resource/Barack_Obama;http://be-x-old.dbpedia.org/resource/Барак_Абама;0.24;2;5723;14916;0
116662049;http://als.dbpedia.org/resource/Barack_Obama;http://be.dbpedia.org/resource/Барак_Абама;0.24;2;5723;14916;0
116662050;http://als.dbpedia.org/resource/Barack_Obama;http://bg.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
116662051;http://als.dbpedia.org/resource/Barack_Obama;http://bn.dbpedia.org/resource/বারাক_ওবামা;0.24;2;5723;14916;0
116662052;http://als.dbpedia.org/resource/Barack_Obama;http://br.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662053;http://als.dbpedia.org/resource/Barack_Obama;http://bs.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662054;http://als.dbpedia.org/resource/Barack_Obama;http://ca.dbpedia.org/resource/Barack_Hussein_Obama;0.24;2;5723;14916;0
116662055;http://als.dbpedia.org/resource/Barack_Obama;http://ca.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662056;http://als.dbpedia.org/resource/Barack_Obama;http://ceb.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662057;http://als.dbpedia.org/resource/Barack_Obama;http://ckb.dbpedia.org/resource/باراک_ئۆباما;0.24;2;5723;14916;0
116662058;http://als.dbpedia.org/resource/Barack_Obama;http://cs.dbpedia.org/resource/Barack_Obama;0.24;2;5723;14916;0
116662059;http://als.dbpedia.org/resource/Barack_Obama;http://cv.dbpedia.org/resource/Барак_Обама;0.24;2;5723;14916;0
